model,dataset,seq_len,pred_len,status,mse,mae,mape,rmse,param_count,forward_active_param_count,inactive_registered_param_count,real_scalar_equivalent,fp32_model_mib,parameter_source,seed,train_seconds,test_elapsed_seconds,inference_seconds,forward_ms_per_sample,test_peak_gpu_mem_mb,source_type,protocol,source_path,published_reference_mse,published_reference_source,notes
Compact + Echo,ETTh1,96,96,ok,0.3750604052349067,0.3923287765953505,9.68822428273947,0.612421754378,2242,,,2242,0.008552551,locked_3seed_actual_param_count,"2024,2025,2026",28.950366020202637,,,,41.22119140625,local_compact_echo_locked_3seed_mean,validation-locked production route; three matched seeds; one deferred held-out test per checkpoint,analysis_exp/source_snapshot_0721v1/compact_echo_true9_88cells.csv,,,Production route arm=true_compact_echo; MAPE was streamed during the 0717v2 completion.
TQNet,ETTh1,96,96,ok,0.3722872734069824,0.3932507336139679,,0.610153483483,661640,,,661640,2.523956299,logged_n_param,2026,20.3995,,0.7783,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTh1,96,96,ok,0.3787690997123718,0.3918715715408325,,0.615442198515,9480,,,9480,0.036163330,logged_n_param,2026,19.6351,,0.5982,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTh1,96,96,ok,0.3876684904098511,0.39675644040107727,,0.622630299945,1300,,,2600,0.009918213,logged_n_param,2026,46.5592,,0.83,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTh1,96,96,ok,0.3853410482406616,0.39080557227134705,,0.620758445968,41,,,41,0.000156403,logged_n_param,2026,18.6267,,0.6783,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTh1,96,96,ok,0.39766207337379456,0.4138297736644745,,0.630604530093,3236832,,,3236832,12.347534180,logged_n_param,2026,36.2531,,1.2739,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTh1,96,96,ok,0.3870052695274353,0.4050177037715912,,0.622097475905,49614,,,49614,0.189262390,logged_n_param,2026,39.7901,,1.6545,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTh1,96,96,ok,0.38772040605545044,0.40609854459762573,,0.622671989137,841568,,,841568,3.210327148,logged_n_param,2026,31.4677,,1.1303,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTh1,96,96,ok,0.38648903369903564,0.40005478262901306,,0.6216824219,35168,,,35168,0.134155273,logged_n_param,2026,87.8325,,0.8376,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTh1,96,96,ok,0.40385836362838745,0.4189794361591339,,0.635498515835,18624,,,18624,0.071044922,logged_n_param,2026,20.4995,,1.0079,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,,,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
