model,dataset,seq_len,pred_len,seed,train_job_id,test_job_id,status,val_mse,val_mae,test_mse,test_mae,paper_l96_mse,paper_l96_mae,registered_trainable_numel,forward_active_numel,inactive_registered_numel,seg_num,t_train,train_peak_gpu_mem_mb,t_inf,peak_gpu_mem_mb,n_val_samples,n_test_samples,official_commit,result_dir,audit_error,ours_test_mse,ours_test_mae,ours_param_count,delta_test_mse_vs_ours,test_mse_change_pct_vs_ours,active_param_ratio_vs_ours,registered_param_ratio_vs_ours,mse_winner_vs_ours
freqcycle,electricity,96,96,2026,28798239,28798240,ok,0.11609221644075572,0.2064640889165841,0.1389417925197132,0.2332157010335008,0.14,0.234,104312,79512,24800,16,160.49624752998352,830.53173828125,2.379211902618408,459.177734375,2537,5165,668ba8204bffbdf3e3967b7a617b2d8bc945ddf9,results/freqcycle_freqcycle_0716v1_electricity_s96_p96_d2026_FreqCycleOfficial_custom_ftM_sl96_pl96_cycle168_seed2026,,0.1386382818788534,0.2331567706050515,22178,0.00030351064085978874,0.21892267903680898,3.5851744972495267,4.703399765533412,Asy2+Echo
freqcycle,electricity,96,192,2026,28798241,28798242,ok,0.12916994038254173,0.21977737650550244,0.154766582572324,0.2473285737257175,0.154,0.246,129080,91896,37184,16,220.27357411384583,863.8623046875,3.419539451599121,492.3662109375,2441,5069,668ba8204bffbdf3e3967b7a617b2d8bc945ddf9,results/freqcycle_freqcycle_0716v1_electricity_s96_p192_d2026_FreqCycleOfficial_custom_ftM_sl96_pl192_cycle168_seed2026,,0.1532444178514939,0.24583973577018095,26914,0.0015221647208301103,0.9932921160659892,3.414431151073791,4.79601694285502,Asy2+Echo
freqcycle,electricity,96,336,2026,28798243,28798244,ok,0.14571547985705505,0.2359210922782241,0.17183536494620072,0.26491867567750577,0.17,0.264,166232,110472,55760,16,306.41677951812744,907.173828125,3.627358913421631,535.00048828125,2297,4925,668ba8204bffbdf3e3967b7a617b2d8bc945ddf9,results/freqcycle_freqcycle_0716v1_electricity_s96_p336_d2026_FreqCycleOfficial_custom_ftM_sl96_pl336_cycle168_seed2026,,0.17039514929978064,0.2632449180432451,26914,0.0014402156464200788,0.8452210361260166,4.104629560823363,6.176413762354165,Asy2+Echo
freqcycle,electricity,96,720,2026,28798245,28798246,ok,0.1766322846133277,0.2631678705868754,0.20934712997287092,0.2967681436758062,0.21,0.297,265304,160008,105296,16,564.1960709095001,1029.35009765625,5.122231483459473,656.31640625,1913,4541,668ba8204bffbdf3e3967b7a617b2d8bc945ddf9,results/freqcycle_freqcycle_0716v1_electricity_s96_p720_d2026_FreqCycleOfficial_custom_ftM_sl96_pl720_cycle168_seed2026,,0.20960293891537957,0.2967060347122732,27106,-0.0002558089425086507,-0.12204453994412995,5.9030472958016675,9.78764849110898,FreqCycle
freqcycle,weather,96,96,2026,28798223,28798224,ok,0.39241088331829105,0.26613041968619616,0.15847706796439104,0.2029324967167345,0.159,0.203,53212,28412,24800,12,78.16449522972107,142.42041015625,2.083845853805542,76.7880859375,5175,10444,668ba8204bffbdf3e3967b7a617b2d8bc945ddf9,results/freqcycle_freqcycle_0716v1_weather_s96_p96_d2026_FreqCycleOfficial_custom_ftM_sl96_pl96_cycle144_seed2026,,0.16077449119338816,0.20450750317031555,3470,-0.0022974232289971197,-1.4289724768798404,8.187896253602306,15.334870317002881,FreqCycle
freqcycle,weather,96,192,2026,28798225,28798226,ok,0.4615153681302069,0.31013600485293613,0.20583699443230621,0.24624483273072992,0.208,0.248,77980,40796,37184,12,85.55468511581421,147.1259765625,2.1743483543395996,81.1328125,5079,10348,668ba8204bffbdf3e3967b7a617b2d8bc945ddf9,results/freqcycle_freqcycle_0716v1_weather_s96_p192_d2026_FreqCycleOfficial_custom_ftM_sl96_pl192_cycle144_seed2026,,0.21237082011128644,0.2503270466941383,4270,-0.006533825678980226,-3.0766117847811554,9.554098360655738,18.262295081967213,FreqCycle
freqcycle,weather,96,336,2026,28798227,28798228,ok,0.5422901793029417,0.3672439815155474,0.2624896249009338,0.2888913953952286,0.264,0.289,115132,59372,55760,12,96.36334204673767,153.77734375,1.9694428443908691,87.60302734375,4935,10204,668ba8204bffbdf3e3967b7a617b2d8bc945ddf9,results/freqcycle_freqcycle_0716v1_weather_s96_p336_d2026_FreqCycleOfficial_custom_ftM_sl96_pl336_cycle144_seed2026,,0.26713471667803484,0.28936297299626407,4286,-0.00464509177710104,-1.7388573955737678,13.85254316378908,26.8623425104993,FreqCycle
freqcycle,weather,96,720,2026,28798229,28798230,ok,0.6696282483114858,0.45123813848532296,0.3447168182813452,0.34457911015224074,0.343,0.342,214204,108908,105296,12,123.36319851875305,171.63671875,2.0670969486236572,105.4423828125,4551,9820,668ba8204bffbdf3e3967b7a617b2d8bc945ddf9,results/freqcycle_freqcycle_0716v1_weather_s96_p720_d2026_FreqCycleOfficial_custom_ftM_sl96_pl720_cycle144_seed2026,,0.34856843172179974,0.3429802931474787,4318,-0.0038516134404545377,-1.1049805690747683,25.22186197313571,49.60722556739231,FreqCycle
freqcycle,electricity,720,96,2026,28798093,28798094,ok,0.10681560238947009,0.19909653970910782,0.12927038924104073,0.2253312169954945,,,306592,201920,104672,120,7869.110192537308,40822.00830078125,8.861724138259888,20642.837890625,2537,5165,668ba8204bffbdf3e3967b7a617b2d8bc945ddf9,results/freqcycle_freqcycle_0716v1_electricity_s720_p96_d2026_FreqCycleOfficial_custom_ftM_sl720_pl96_cycle168_seed2026,,0.1269197569916838,0.22224883998705522,62114,0.0023506322493569154,1.852061731816061,3.2507969217889685,4.935956467141064,Asy2+Echo
freqcycle,electricity,720,192,2026,28798247,28798248,ok,0.12084472978411553,0.21387213929493643,0.14684333855435916,0.24185368723943326,,,331360,214304,117056,120,7804.468821763992,40854.4169921875,8.283982753753662,20675.0732421875,2441,5069,668ba8204bffbdf3e3967b7a617b2d8bc945ddf9,results/freqcycle_freqcycle_0716v1_electricity_s720_p192_d2026_FreqCycleOfficial_custom_ftM_sl720_pl192_cycle168_seed2026,,0.14419810301127842,0.23789116522700712,66850,0.002645235543080743,1.8344454523606641,3.2057442034405383,4.956768885564697,Asy2+Echo
