dataset,pred_len,Compact + Echo MSE,Compact + Echo MAE,Compact + Echo Params,TQNet MSE,TQNet MAE,TQNet Params,CycleNet MSE,CycleNet MAE,CycleNet Params,FITS MSE,FITS MAE,FITS Params,SparseTSF MSE,SparseTSF MAE,SparseTSF Params,FreTS MSE,FreTS MAE,FreTS Params,FilterNet MSE,FilterNet MAE,FilterNet Params,iTransformer MSE,iTransformer MAE,iTransformer Params,PatchTST MSE,PatchTST MAE,PatchTST Params,DLinear MSE,DLinear MAE,DLinear Params,MixLinear MSE,MixLinear MAE,MixLinear Params,PhaseFormer MSE,PhaseFormer MAE,PhaseFormer Params,FreqCycle MSE,FreqCycle MAE,FreqCycle Params
ETTh1,96,0.3528043852106795,0.391402503040677,6146,0.3779054284095764,0.4035109281539917,3020360,0.3799045979976654,0.40370243787765503,69384,0.37906983494758606,0.4020942449569702,37310,0.3791796565055847,0.4137553870677948,145,0.4557300806045532,0.47059890627861023,23684064,0.4004894196987152,0.42628613114356995,209982,0.3960539400577545,0.4271228313446045,1001312,0.38734200596809387,0.4175139367580414,156224,0.4074092209339142,0.4323776960372925,138432,0.37407511472702026,0.4099274277687073,67,0.36683531186571705,0.38909442969084695,2072,0.3761642448534256,0.408509514137072,252832
ETTh1,192,0.38875871877556606,0.4133553489437579,6274,0.4141155779361725,0.42972567677497864,3069608,0.4143056273460388,0.4239436388015747,138600,0.41361215710639954,0.4225175678730011,41678,0.4029437005519867,0.41150444746017456,265,0.47743508219718933,0.4779393672943115,23708736,0.4306679666042328,0.4501361846923828,234654,0.4344436228275299,0.45496997237205505,1025984,0.4168654978275299,0.4354951083660126,294560,0.4383701980113983,0.449484646320343,276864,0.409694641828537,0.4362536668777466,87,0.3972869447343962,0.4085069641278778,2092,0.4074214292585804,0.42838704570186187,277600
ETTh1,336,0.4175164320685205,0.43063318348536483,6466,0.455739289522171,0.455806702375412,3143480,0.4455920159816742,0.4437824487686157,242424,0.43292757868766785,0.43993228673934937,48230,0.4345642328262329,0.4278177320957184,445,0.5327762961387634,0.5147860050201416,23745744,0.4505031406879425,0.46356743574142456,271662,0.4941021203994751,0.49454429745674133,3698512,0.4494304955005646,0.45870718359947205,502064,0.46796172857284546,0.4713420271873474,484512,0.41350579261779785,0.43624699115753174,111,0.42069972497236074,0.42183714006421885,2122,0.45578015727498766,0.46149956654164304,1126528
ETTh1,720,0.4358386222735263,0.4578737296699502,6978,0.5055779814720154,0.5041306018829346,3340472,0.47718533873558044,0.4819819927215576,519288,0.43090853095054626,0.45682865381240845,65884,0.42561429738998413,0.4450589716434479,925,0.5945382118225098,0.5498382449150085,23844432,0.502188503742218,0.5007496476173401,370350,0.5749146342277527,0.5505433082580566,3895504,0.47029203176498413,0.48533669114112854,1055408,0.5079513192176819,0.5209159255027771,1038240,0.42420992255210876,0.4573168456554413,167,0.42282657818554875,0.44440911633925306,60762,0.4867874891367912,0.49520079611366524,1520512
ETTh2,96,0.27183636185586063,0.33622367132836944,6146,0.2887498438358307,0.35072454810142517,3020360,0.27115511894226074,0.337828665971756,69384,0.27274051308631897,0.3382429778575897,37310,0.28404802083969116,0.3423610031604767,145,0.3707292079925537,0.4145609140396118,23684064,0.3217521905899048,0.3762148320674896,209982,0.3086549937725067,0.3621634840965271,304096,0.2772338092327118,0.3396688997745514,156224,0.3480552136898041,0.4015803039073944,138432,0.28609880805015564,0.3452703654766083,87,0.28082173777457065,0.3420242965856847,1716,0.28375551100771296,0.3449739611589283,252832
ETTh2,192,0.34257065129629816,0.38434614478579954,6274,0.36291444301605225,0.39711615443229675,3069608,0.3313729465007782,0.3797982335090637,138600,0.33196765184402466,0.37570351362228394,41678,0.34183478355407715,0.3785141110420227,265,0.5145644545555115,0.4894672632217407,23708736,0.37776389718055725,0.4094568192958832,234654,0.38932549953460693,0.41134998202323914,316480,0.3519377112388611,0.3888952434062958,294560,0.38725677132606506,0.4228920042514801,276864,0.3425609767436981,0.37977486848831177,107,0.34368438444588867,0.3825884273653326,1752,0.35394702042991477,0.39308966036211757,277600
ETTh2,336,0.3788769690770103,0.41448211134220886,6466,0.3828412592411041,0.41631078720092773,3143480,0.3668234050273895,0.4114667773246765,242424,0.3548415005207062,0.39678412675857544,48230,0.3661781847476959,0.4016106426715851,445,0.5026333928108215,0.4981009066104889,23745744,0.40695375204086304,0.43629100918769836,271662,0.4855862259864807,0.47082096338272095,335056,0.3638736605644226,0.4047430157661438,502064,0.570676326751709,0.5266774892807007,484512,0.3601621091365814,0.39837104082107544,131,0.37291029008701454,0.40806764040988774,1806,0.38029544764733003,0.4203060562392038,1126528
ETTh2,720,0.4107922921275708,0.4471098261938487,6978,0.4228421449661255,0.45209822058677673,3340472,0.4179643392562866,0.45116937160491943,519288,0.3782028257846832,0.42392873764038086,65884,0.3816608488559723,0.42367666959762573,925,0.8486284017562866,0.6630163192749023,23844432,0.42345696687698364,0.451883465051651,370350,0.4310358762741089,0.46062490344047546,384592,0.396075040102005,0.4358846843242645,1055408,0.7751088738441467,0.6260589957237244,1038240,0.3805728256702423,0.42355766892433167,187,0.4059946719379988,0.4406318914845568,718,0.41944466466771874,0.4498965471413718,1520512
ETTm1,96,0.288290250063404,0.3422012131529091,10426,0.2986374795436859,0.35090240836143494,3020864,0.3093375861644745,0.35583487153053284,69888,0.3188023865222931,0.35981908440589905,2112,0.3385867476463318,0.3711400032043457,145,0.36896827816963196,0.38762760162353516,23684064,0.320210725069046,0.36763253808021545,209982,0.31721365451812744,0.37108859419822693,304096,0.29760363698005676,0.3523174524307251,1517152,0.31389403343200684,0.3563418984413147,138432,0.33563119173049927,0.37527450919151306,653,0.3053578749152823,0.35166851241709385,3666,0.2970054792030497,0.3528414653657353,253336
ETTm1,192,0.32585606796890215,0.36451246202562354,10490,0.3308126628398895,0.3722689151763916,3070112,0.33956289291381836,0.37396177649497986,139104,0.34534579515457153,0.3743635416030884,2376,0.36108458042144775,0.3823169767856598,265,0.4003933072090149,0.42054328322410583,23708736,0.3602975010871887,0.38974472880363464,234654,0.34846290946006775,0.3873361051082611,316480,0.33582746982574463,0.3738658130168915,2623168,0.34316131472587585,0.37610408663749695,276864,0.3530093729496002,0.383041113615036,863,0.32924923462942507,0.36400617675608665,3702,0.33381343302802186,0.37340903933586833,278104
