model,dataset,seq_len,pred_len,seed,status,mse,mae,mape,rmse,param_count,forward_active_param_count,inactive_registered_param_count,train_seconds,inference_seconds,forward_ms_per_sample,test_peak_gpu_mem_mb,source_type,protocol,source_path,notes
Ours (Compact + Echo),ETTh1,720,96,2026,ok,0.3589831910894068,0.39773744059859917,9.71608056848221,0.599152060072739,3906,,,36.06951308250427,1.5742149353027344,0.13347876050653307,59.79833984375,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r4_t16; input=pcke; input_k=2; basis=64; recent=96; output_k=1; channel=cycle_shared; phase_gate=0; gate_cap=0.5; lr=0.005
TQNet,ETTh1,720,96,2026,ok,0.3779054284095764,0.4035109281539917,,0.614740130795,3020360,,,16.8102,0.6576,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTh1,720,96,2026,ok,0.3799045979976654,0.40370243787765503,,0.616364014198,69384,,,25.2089,0.7026,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTh1,720,96,2026,ok,0.37906983494758606,0.4020942449569702,,0.615686474553,37310,,,51.9482,0.9626,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTh1,720,96,2026,ok,0.3791796565055847,0.4137553870677948,,0.615775654363,145,,,55.3096,0.6954,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTh1,720,96,2026,ok,0.4557300806045532,0.47059890627861023,,0.675077832997,23684064,,,34.0232,1.4364,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTh1,720,96,2026,ok,0.4004894196987152,0.42628613114356995,,0.632842333997,209982,,,24.2088,1.7272,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTh1,720,96,2026,ok,0.3960539400577545,0.4271228313446045,,0.629328165632,1001312,,,25.1707,1.2964,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTh1,720,96,2026,ok,0.38734200596809387,0.4175139367580414,,0.622368063101,156224,,,53.9566,0.8826,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTh1,720,96,2026,ok,0.4074092209339142,0.4323776960372925,,0.638286159128,138432,,,13.3678,1.177,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
