task_id,model,dataset,seq_len,pred_len,seed,profile,config_source,completion_status,mse,mae,mape,rmse,param_count,t_train,t_inf,forward_ms_per_sample,test_peak_gpu_mem_mb,train_peak_gpu_mem_mb,n_test_samples,strict_eval,strict_protocol_version,result_dir,checkpoint_path,metrics_path,config_path,audit_error
0,PhaseFormer,ETTh1,96,96,2026,phase_p24_l3_d4_h1_r8,completion_0716v2_locked_profile,ok,0.37920286420944777,0.3911828108976939,9.071858123488898,0.6157944983591911,1500,153.198322057724,2.116771697998047,0.22384371677258083,33.95263671875,69.40673828125,2785,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h96_s2026_PhaseFormer_ETTh1_ftM_sl96_pl96_cycle24_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h96_s2026_PhaseFormer_ETTh1_ftM_sl96_pl96_cycle24_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h96_s2026_PhaseFormer_ETTh1_ftM_sl96_pl96_cycle24_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h96_s2026_PhaseFormer_ETTh1_ftM_sl96_pl96_cycle24_seed2026/phaseformer_seed2026_config.json,
1,PhaseFormer,ETTh1,96,192,2026,phase_p24_l3_d4_h1_r8,completion_0716v2_locked_profile,ok,0.43504765678323526,0.41964304212976333,9.605471493626158,0.6595814254383118,1520,154.7389509677887,2.1083991527557373,0.22712209702981306,34.19287109375,69.595703125,2689,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h192_s2026_PhaseFormer_ETTh1_ftM_sl96_pl192_cycle24_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h192_s2026_PhaseFormer_ETTh1_ftM_sl96_pl192_cycle24_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h192_s2026_PhaseFormer_ETTh1_ftM_sl96_pl192_cycle24_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h192_s2026_PhaseFormer_ETTh1_ftM_sl96_pl192_cycle24_seed2026/phaseformer_seed2026_config.json,
2,PhaseFormer,ETTh1,96,336,2026,phase_p24_l3_d4_h1_r8,completion_0716v2_locked_profile,ok,0.4703199958032298,0.4388321999728018,9.402540100562797,0.685798801255317,1550,156.78506064414978,2.0865066051483154,0.23383594731926508,34.55322265625,69.89453125,2545,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h336_s2026_PhaseFormer_ETTh1_ftM_sl96_pl336_cycle24_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h336_s2026_PhaseFormer_ETTh1_ftM_sl96_pl336_cycle24_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h336_s2026_PhaseFormer_ETTh1_ftM_sl96_pl336_cycle24_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h336_s2026_PhaseFormer_ETTh1_ftM_sl96_pl336_cycle24_seed2026/phaseformer_seed2026_config.json,
3,PhaseFormer,ETTh1,96,720,2026,phase_p24_l3_d32_h2_r16,completion_0716v2_locked_profile,ok,0.4673344041049303,0.4466254323260923,8.598361217812835,0.6836186101218503,56550,186.42121934890747,1.993556261062622,0.2828927793667627,39.0654296875,91.57861328125,2161,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h720_s2026_PhaseFormer_ETTh1_ftM_sl96_pl720_cycle24_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h720_s2026_PhaseFormer_ETTh1_ftM_sl96_pl720_cycle24_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h720_s2026_PhaseFormer_ETTh1_ftM_sl96_pl720_cycle24_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh1_l96_h720_s2026_PhaseFormer_ETTh1_ftM_sl96_pl720_cycle24_seed2026/phaseformer_seed2026_config.json,
4,PhaseFormer,ETTh2,96,96,2026,phase_p24_l1_d8_h1_r8,completion_0716v2_locked_profile,ok,0.28936055215802187,0.3380854227411665,1.4138265555568226,0.5379224406529457,1508,61.296597480773926,1.981269121170044,0.15434057530579182,34.1826171875,67.52294921875,2785,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h96_s2026_PhaseFormer_ETTh2_ftM_sl96_pl96_cycle24_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h96_s2026_PhaseFormer_ETTh2_ftM_sl96_pl96_cycle24_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h96_s2026_PhaseFormer_ETTh2_ftM_sl96_pl96_cycle24_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h96_s2026_PhaseFormer_ETTh2_ftM_sl96_pl96_cycle24_seed2026/phaseformer_seed2026_config.json,
5,PhaseFormer,ETTh2,96,192,2026,phase_p24_l1_d8_h1_r8,completion_0716v2_locked_profile,ok,0.3692879828999754,0.3867700981756921,1.5343424849586986,0.6076906967364034,1544,59.90663123130798,1.9713308811187744,0.15911831301304502,34.4228515625,67.72216796875,2689,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h192_s2026_PhaseFormer_ETTh2_ftM_sl96_pl192_cycle24_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h192_s2026_PhaseFormer_ETTh2_ftM_sl96_pl192_cycle24_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h192_s2026_PhaseFormer_ETTh2_ftM_sl96_pl192_cycle24_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h192_s2026_PhaseFormer_ETTh2_ftM_sl96_pl192_cycle24_seed2026/phaseformer_seed2026_config.json,
6,PhaseFormer,ETTh2,96,336,2026,phase_p24_l1_d8_h1_r8,completion_0716v2_locked_profile,ok,0.41242676066680056,0.42372518960664013,1.7468801679313077,0.6422046096586357,1598,65.56306004524231,1.321213722229004,0.11349610650631982,34.783203125,68.02099609375,2545,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h336_s2026_PhaseFormer_ETTh2_ftM_sl96_pl336_cycle24_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h336_s2026_PhaseFormer_ETTh2_ftM_sl96_pl336_cycle24_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h336_s2026_PhaseFormer_ETTh2_ftM_sl96_pl336_cycle24_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h336_s2026_PhaseFormer_ETTh2_ftM_sl96_pl336_cycle24_seed2026/phaseformer_seed2026_config.json,
7,PhaseFormer,ETTh2,96,720,2026,phase_p24_l1_d4_h1_r4,completion_0716v2_locked_profile,ok,0.41670570071716334,0.4374676702369515,1.971322095905411,0.6455274593053059,614,77.30527091026306,1.4907150268554688,0.18826042718537606,35.35302734375,68.04833984375,2161,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h720_s2026_PhaseFormer_ETTh2_ftM_sl96_pl720_cycle24_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h720_s2026_PhaseFormer_ETTh2_ftM_sl96_pl720_cycle24_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h720_s2026_PhaseFormer_ETTh2_ftM_sl96_pl720_cycle24_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTh2_l96_h720_s2026_PhaseFormer_ETTh2_ftM_sl96_pl720_cycle24_seed2026/phaseformer_seed2026_config.json,
8,PhaseFormer,ETTm1,96,96,2026,phase_p24_l2_d8_h1_r8,completion_0716v2_locked_profile,ok,0.32893934069945596,0.35809968917313983,2.1265817243289766,0.5735323362282688,3016,427.8746576309204,3.7382278442382812,0.12415885964013164,34.40478515625,69.8095703125,11425,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h96_s2026_PhaseFormer_ETTm1_ftM_sl96_pl96_cycle96_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h96_s2026_PhaseFormer_ETTm1_ftM_sl96_pl96_cycle96_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h96_s2026_PhaseFormer_ETTm1_ftM_sl96_pl96_cycle96_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h96_s2026_PhaseFormer_ETTm1_ftM_sl96_pl96_cycle96_seed2026/phaseformer_seed2026_config.json,
9,PhaseFormer,ETTm1,96,192,2026,phase_p24_l2_d8_h1_r8,completion_0716v2_locked_profile,ok,0.37370388539695537,0.3782108828979056,2.2178064779545794,0.6113132465413745,3052,491.7095901966095,3.8746464252471924,0.1220712081576017,34.64501953125,69.9677734375,11329,1,2,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h192_s2026_PhaseFormer_ETTm1_ftM_sl96_pl192_cycle96_seed2026,checkpoints/phaseformer_seed2026/phaseformer_seed2026_0722v1_r2_20260722T142836_full/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h192_s2026_PhaseFormer_ETTm1_ftM_sl96_pl192_cycle96_seed2026/checkpoint.pth,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h192_s2026_PhaseFormer_ETTm1_ftM_sl96_pl192_cycle96_seed2026/metrics_summary.csv,results/phaseformer_s2026_phaseformer_seed2026_0722v1_r2_20260722T142836_full_ETTm1_l96_h192_s2026_PhaseFormer_ETTm1_ftM_sl96_pl192_cycle96_seed2026/phaseformer_seed2026_config.json,
