model,dataset,seq_len,pred_len,status,job_id,alpha,lpf,period_len,phase_layers,latent_dim,best_val_loss,test_mse,test_mae,paper_mse,paper_mae,asy1_mse,asy1_params,mse_minus_asy1,trainable_numel,real_scalar_equiv,elapsed_seconds,official_commit,summary_file
mixlinear,electricity,720,96,ok,28725292,0.5,19,24,,,0.115699,0.1386059671640396,0.2334003895521164,0.138,,0.128007,80592,0.010598967164039602,95,141,1969.0,71b5db62e38b1cb108faa1e1d4687287b4568f3b,baseline_2026_results/iclr26_baselines_0713v1/mixlinear/electricity/mixlinear_electricity_sl720_pl96_a0p5_lpf19/run_summary.json
mixlinear,electricity,720,192,ok,28725293,0.99,15,24,,,0.1297195,0.15428206324577332,0.2483368217945099,0.154,,0.145293,86736,0.00898906324577331,107,153,1297.0,71b5db62e38b1cb108faa1e1d4687287b4568f3b,baseline_2026_results/iclr26_baselines_0713v1/mixlinear/electricity/mixlinear_electricity_sl720_pl192_a0p99_lpf15/run_summary.json
mixlinear,electricity,720,336,ok,28725294,0.99,15,24,,,0.1462437,0.17071759700775146,0.26457449793815613,0.17,,0.16048,95952,0.010237597007751453,131,189,1969.0,71b5db62e38b1cb108faa1e1d4687287b4568f3b,baseline_2026_results/iclr26_baselines_0713v1/mixlinear/electricity/mixlinear_electricity_sl720_pl336_a0p99_lpf15/run_summary.json
mixlinear,electricity,720,720,ok,28725295,0.5,15,24,,,0.1797954,0.20948943495750427,0.2979065477848053,0.209,,0.197044,120528,0.012445434957504276,187,277,2592.0,71b5db62e38b1cb108faa1e1d4687287b4568f3b,baseline_2026_results/iclr26_baselines_0713v1/mixlinear/electricity/mixlinear_electricity_sl720_pl720_a0p5_lpf15/run_summary.json
mixlinear,weather,720,96,ok,28725282,0.99,1,4,,,0.4290724,0.1793045997619629,0.23715822398662567,0.17,,0.139562,13722,0.0397425997619629,195,245,224.0,71b5db62e38b1cb108faa1e1d4687287b4568f3b,baseline_2026_results/iclr26_baselines_0713v1/mixlinear/weather/mixlinear_weather_sl720_pl96_a0p99_lpf1/run_summary.json
mixlinear,weather,720,192,ok,28725285,0.99,1,4,,,0.4905924,0.2218078225851059,0.27411171793937683,0.212,,0.181457,15258,0.04035082258510589,299,397,114.0,71b5db62e38b1cb108faa1e1d4687287b4568f3b,baseline_2026_results/iclr26_baselines_0713v1/mixlinear/weather/mixlinear_weather_sl720_pl192_a0p99_lpf1/run_summary.json
mixlinear,weather,720,336,ok,28725288,0.99,1,4,,,0.5525647,0.26743242144584656,0.3077290952205658,0.257,,0.231628,17562,0.03580442144584656,455,625,234.0,71b5db62e38b1cb108faa1e1d4687287b4568f3b,baseline_2026_results/iclr26_baselines_0713v1/mixlinear/weather/mixlinear_weather_sl720_pl336_a0p99_lpf1/run_summary.json
mixlinear,weather,720,720,ok,28725289,0.01,1,4,,,0.6299118,0.32921239733695984,0.3508678376674652,0.321,,0.304462,23706,0.02475039733695983,759,1121,178.0,71b5db62e38b1cb108faa1e1d4687287b4568f3b,baseline_2026_results/iclr26_baselines_0713v1/mixlinear/weather/mixlinear_weather_sl720_pl720_a0p01_lpf1/run_summary.json
phaseformer,electricity,720,96,ok,28725624,,,24,2,8,0.0472487,0.1284646838903427,0.22031667828559875,0.129,0.221,0.128007,80592,0.00045768389034270274,3666,3666,1069.0,ed1db61c6abfa9326d5ca2a56c6c4ba53ea592ab,baseline_2026_results/iclr26_baselines_0713v1/phaseformer/electricity/phaseformer_electricity_sl720_pl96/run_summary.json
phaseformer,electricity,720,192,ok,28725625,,,24,1,128,0.0526671,0.14652885496616364,0.23618851602077484,0.148,0.238,0.145293,86736,0.0012358549661636298,273160,273160,694.0,ed1db61c6abfa9326d5ca2a56c6c4ba53ea592ab,baseline_2026_results/iclr26_baselines_0713v1/phaseformer/electricity/phaseformer_electricity_sl720_pl192/run_summary.json
phaseformer,electricity,720,336,ok,28725626,,,24,2,8,0.0620911,0.16611619293689728,0.2581985294818878,0.165,0.257,0.16048,95952,0.005636192936897266,3756,3756,1268.0,ed1db61c6abfa9326d5ca2a56c6c4ba53ea592ab,baseline_2026_results/iclr26_baselines_0713v1/phaseformer/electricity/phaseformer_electricity_sl720_pl336/run_summary.json
phaseformer,electricity,720,720,ok,28725627,,,24,1,128,0.0727176,0.19881898164749146,0.28455981612205505,0.201,0.285,0.197044,120528,0.0017749816474914581,275998,275998,884.0,ed1db61c6abfa9326d5ca2a56c6c4ba53ea592ab,baseline_2026_results/iclr26_baselines_0713v1/phaseformer/electricity/phaseformer_electricity_sl720_pl720/run_summary.json
phaseformer,weather,720,96,ok,28725620,,,24,3,8,0.098706,0.14861983060836792,0.19356034696102142,0.148,0.195,0.139562,13722,0.009057830608367928,5616,5616,702.0,ed1db61c6abfa9326d5ca2a56c6c4ba53ea592ab,baseline_2026_results/iclr26_baselines_0713v1/phaseformer/weather/phaseformer_weather_sl720_pl96/run_summary.json
phaseformer,weather,720,192,ok,28725621,,,24,2,8,0.1240418,0.19274400174617767,0.23646798729896545,0.193,0.237,0.181457,15258,0.011287001746177666,3702,3702,460.0,ed1db61c6abfa9326d5ca2a56c6c4ba53ea592ab,baseline_2026_results/iclr26_baselines_0713v1/phaseformer/weather/phaseformer_weather_sl720_pl192/run_summary.json
phaseformer,weather,720,336,ok,28725622,,,24,2,8,0.1490092,0.24509696662425995,0.2801257371902466,0.242,0.278,0.231628,17562,0.013468966624259948,3756,3756,531.0,ed1db61c6abfa9326d5ca2a56c6c4ba53ea592ab,baseline_2026_results/iclr26_baselines_0713v1/phaseformer/weather/phaseformer_weather_sl720_pl336/run_summary.json
phaseformer,weather,720,720,ok,28725623,,,24,2,8,0.1797807,0.32080233097076416,0.3350319564342499,0.309,0.332,0.304462,23706,0.01634033097076415,3900,3900,578.0,ed1db61c6abfa9326d5ca2a56c6c4ba53ea592ab,baseline_2026_results/iclr26_baselines_0713v1/phaseformer/weather/phaseformer_weather_sl720_pl720/run_summary.json
