# role	base_profile	arm	dataset	seq_len	pred_len	seed	cut_freq
bridge	ind_cycle_full	fk_r8_cs	weather	96	720	2026	13
bridge	ind_cycle_full	fk_sm2_mode	weather	96	720	2026	13
bridge	ind_cycle_full	fk_sm2_tail2	weather	96	720	2026	13
identity	ind_cycle_full	fk_r8_cs	ETTm1	96	96	2026	7
identity	ind_cycle_full	fk_sm2_mode	ETTm1	96	96	2026	7
identity	ind_cycle_full	fk_sm2_tail2	ETTm1	96	96	2026	7
identity	ind_cycle_full	fk_r8_cs	ETTm1	96	192	2026	7
identity	ind_cycle_full	fk_sm2_mode	ETTm1	96	192	2026	7
identity	ind_cycle_full	fk_sm2_tail2	ETTm1	96	192	2026	7
active	ind_cycle_full	fk_r8_cs	ETTm1	96	336	2026	7
active	ind_cycle_full	fk_sm2_mode	ETTm1	96	336	2026	7
active	ind_cycle_full	fk_sm2_tail2	ETTm1	96	336	2026	7
active	ind_cycle_full	fk_r8_cs	ETTm1	96	720	2026	7
active	ind_cycle_full	fk_sm2_mode	ETTm1	96	720	2026	7
active	ind_cycle_full	fk_sm2_tail2	ETTm1	96	720	2026	7
identity	ind_cycle_full	fk_r8_cs	traffic	96	96	2026	25
identity	ind_cycle_full	fk_sm2_mode	traffic	96	96	2026	25
identity	ind_cycle_full	fk_sm2_tail2	traffic	96	96	2026	25
identity	ind_cycle_full	fk_r8_cs	traffic	96	192	2026	25
identity	ind_cycle_full	fk_sm2_mode	traffic	96	192	2026	25
identity	ind_cycle_full	fk_sm2_tail2	traffic	96	192	2026	25
active	ind_cycle_full	fk_r8_cs	traffic	96	336	2026	25
active	ind_cycle_full	fk_sm2_mode	traffic	96	336	2026	25
active	ind_cycle_full	fk_sm2_tail2	traffic	96	336	2026	25
active	ind_cycle_full	fk_r8_cs	traffic	96	720	2026	25
active	ind_cycle_full	fk_sm2_mode	traffic	96	720	2026	25
active	ind_cycle_full	fk_sm2_tail2	traffic	96	720	2026	25
