job_id	arm	dataset	seq_len	pred_len	seed	cut_freq
28661095	ind_cycle_full	weather	96	96	2024	13
28661096	ind_cycle_full	weather	96	192	2024	13
28661097	ind_cycle_full	weather	96	336	2024	13
28661098	ind_cycle_full	weather	96	720	2024	13
28661099	ind_cycle_full	weather	96	96	2025	13
28661100	ind_cycle_full	weather	96	192	2025	13
28661101	ind_cycle_full	weather	96	336	2025	13
28661102	ind_cycle_full	weather	96	720	2025	13
28661103	ind_cycle_full	weather	96	192	2026	13
28661104	ind_cycle_full	weather	96	720	2026	13
