job_id	arm	dataset	seq_len	pred_len	seed	cut_freq
28661114	cross	electricity	96	96	2026	25
28661115	cross	electricity	96	336	2026	25
28661116	cross_cycle_full	electricity	96	96	2026	25
28661117	cross_cycle_full	electricity	96	336	2026	25
28661118	cross_cycle_full_direct_res	electricity	96	96	2026	25
28661119	cross_cycle_full_direct_res	electricity	96	336	2026	25
28661120	cross_cycle_full_dlinear_res	electricity	96	96	2026	25
28661121	cross_cycle_full_dlinear_res	electricity	96	336	2026	25
28661122	cross_cycle_full	electricity	720	96	2026	181
28661123	cross_cycle_full	electricity	720	336	2026	181
