dataset,seq_len,arm,cut_freq,runs,horizons,seeds,screen_complete,screen_runs,screen_val_mse_mean,screen_test_mse_mean,all_val_mse_mean,all_test_mse_mean,n_param_max,peak_cuda_mb_max,t_train_mean,t_inf_mean
electricity,96,ind_cycle_full_direct_res,25,2,96+336,2026,1,2,0.13211845,0.15750864148139954,0.13211845,0.15750864148139954,1957002,693.03,2175.39455,7.87695
electricity,96,ind_cycle_full,25,2,96+336,2026,1,2,0.13234055,0.15864931046962738,0.13234055,0.15864931046962738,1924074,651.13,2100.1504999999997,7.7865
electricity,96,factor_r4_cycle_direct_res,25,2,96+336,2026,1,2,0.1337311,0.15846257656812668,0.1337311,0.15846257656812668,117006,661.14,433.1904,4.8419
electricity,96,factor_r2_cycle_direct_res,25,2,96+336,2026,1,2,0.133817,0.15863411873579025,0.133817,0.15863411873579025,105164,660.96,439.2362,4.7794
electricity,96,factor_r2_cycle,25,2,96+336,2026,1,2,0.13416695,0.16017556190490723,0.13416695,0.16017556190490723,72236,619.05,432.41385,4.73215
electricity,96,factor_r4_cycle,25,2,96+336,2026,1,2,0.13453009999999999,0.16002941876649857,0.13453009999999999,0.16002941876649857,84078,619.24,420.56909999999993,4.58345
electricity,96,cross_cycle_full_direct_res,25,2,96+336,2026,1,2,0.13973939999999999,0.1643100380897522,0.13973939999999999,0.1643100380897522,99134,669.27,655.3884,5.89845
electricity,96,cross_cycle_full_dlinear_res,25,2,96+336,2026,1,2,0.1397522,0.1643371880054474,0.1397522,0.1643371880054474,131726,703.64,658.4643,5.8302499999999995
electricity,96,cross_cycle_full,25,2,96+336,2026,1,2,0.14148265,0.16744907200336456,0.14148265,0.16744907200336456,66206,627.08,637.12895,5.6905
electricity,96,ind_cycle_r8,25,2,96+336,2026,1,2,0.1468955,0.17202352732419968,0.1468955,0.17202352732419968,1874058,650.56,2169.46445,7.6648499999999995
electricity,96,ind_direct_res,25,2,96+336,2026,1,2,0.17205195,0.1958428993821144,0.17205195,0.1958428993821144,1903074,650.82,2152.87305,8.122
electricity,96,ind,25,2,96+336,2026,1,2,0.17804145,0.20272196829319,0.17804145,0.20272196829319,1870146,582.59,2101.0751,7.7401
electricity,96,cross,25,2,96+336,2026,1,2,0.18585085,0.21077711880207062,0.18585085,0.21077711880207062,12278,572.58,642.46785,5.7081
electricity,168,compact_period_cycle_full,43,2,96+336,2026,1,2,0.134032,0.15813469886779785,0.134032,0.15813469886779785,74760,867.04,730.18895,6.01835
electricity,336,compact_period_cycle_full,85,2,96+336,2026,1,2,0.1293417,0.1528245285153389,0.1293417,0.1528245285153389,95336,1045.56,822.8222499999999,6.6015
electricity,504,compact_period_cycle_full,127,2,96+336,2026,1,2,0.12608335,0.14998233318328857,0.12608335,0.14998233318328857,122800,1245.3,963.92905,7.82035
electricity,720,period_cycle_full,181,4,96+192+336+720,2026,1,2,0.12519095,0.1492694690823555,0.13614055,0.1624826230108738,1229672,2128.33,1207.752575,9.61755
electricity,720,compact_period_cycle_full,181,8,96+192+336+720,2024+2025+2026,1,6,0.12538944999999999,0.14957979321479797,0.130814625,0.1561087891459465,217544,2165.08,1163.7501125,9.26205
electricity,720,cross_cycle_full,181,2,96+336,2026,1,2,0.1262331,0.15085268765687943,0.1262331,0.15085268765687943,156842,1396.45,1063.0283,8.57555
electricity,720,cross_cycle_full,151,2,96+336,2026,1,2,0.1273752,0.15262401849031448,0.1273752,0.15262401849031448,127566,1353.88,1067.82005,8.251100000000001
electricity,720,cross_cycle_full,121,2,96+336,2026,1,2,0.12901235,0.15437038242816925,0.12901235,0.15437038242816925,103570,1311.41,1058.4035,8.68285
electricity,720,period,181,2,96+336,2026,1,2,0.1291521,0.15193196386098862,0.1291521,0.15193196386098862,587092,1343.76,1065.6579000000002,8.64855
electricity,720,cross_cycle_full,85,2,96+336,2026,1,2,0.1343467,0.16227321326732635,0.1343467,0.16227321326732635,81710,1264.31,1040.1113,8.6275
electricity,720,cross_cycle_full,61,2,96+336,2026,1,2,0.1362888,0.16417913138866425,0.1362888,0.16417913138866425,71418,1229.57,1061.9474,8.5256
weather,96,ind_cycle_full_direct_res,13,10,96+192+336+720,2024+2025+2026,1,6,0.4741304333333334,0.21033271898825964,0.49342433,0.22243265807628632,138306,143.99,367.25812,2.8948799999999997
weather,96,ind_cycle_full,13,12,96+192+336+720,2024+2025+2026,1,6,0.47695519999999997,0.21160796036322913,0.5275296416666667,0.24365973100066185,67746,138.01,373.62545833333337,2.95785
weather,96,ind_dlinear_res,13,2,96+336,2026,1,2,0.4879737,0.21673808991909027,0.4879737,0.21673808991909027,99666,106.54,355.164,2.6589
weather,96,ind_direct_res,13,2,96+336,2026,1,2,0.48810155,0.21679220348596573,0.48810155,0.21679220348596573,67074,103.95,348.3512,2.8775500000000003
weather,96,ind,25,2,96+336,2026,1,2,0.49073164999999996,0.21728922426700592,0.49073164999999996,0.21728922426700592,122346,102.09,364.21835,2.5747999999999998
weather,96,ind,13,2,96+336,2026,1,2,0.49350764999999996,0.21828750520944595,0.49350764999999996,0.21828750520944595,34146,99.26,381.93745,2.64465
weather,96,ind,5,2,96+336,2026,1,2,0.5002512,0.22140301018953323,0.5002512,0.22140301018953323,5586,99.79,371.0906,2.71315
weather,96,ind_cycle_full_direct_res,25,4,192+336,2024+2025+2026,0,1,0.5547268,0.2630480229854584,0.48906384999999997,0.22030334174633026,158298,109.85,380.91685,2.94645
