run_tag,arm,dataset,seq_len,pred_len,seed,cut_freq,cycle,periods,status,exit_code,job_id,n_param,val_mse,mse,mae,t_train,t_inf,peak_cuda_mb,log_file,summary_file,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase10ep_0712v1,cross,electricity,96,96,2026,25,168,24+168,ok,0,28661114,9054,0.1796525,0.20326514542102814,0.28851771354675293,490.8175,4.0883,291.85,logs/AsySpecX_phase10/phase10ep_0712v1_cross_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.1935944,0.1695694,0.1841839,0.1720524
phase10ep_0712v1,cross_cycle_full,electricity,96,96,2026,25,168,24+168,ok,0,28661116,62982,0.1259567,0.15102583169937134,0.24929726123809814,497.7431,4.2391,316.97,logs/AsySpecX_phase10/phase10ep_0712v1_cross_cycle_full_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross_cycle_full/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.1258797,0.1157968,0.1369877,0.1257011
phase10ep_0712v1,cross_cycle_full_direct_res,electricity,96,96,2026,25,168,24+168,ok,0,28661118,72390,0.1244744,0.14831040799617767,0.24279111623764038,521.6746,4.5599,330.61,logs/AsySpecX_phase10/phase10ep_0712v1_cross_cycle_full_direct_res_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross_cycle_full_direct_res/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.1235071,0.1153393,0.1361628,0.1234234
phase10ep_0712v1,cross_cycle_full_dlinear_res,electricity,96,96,2026,25,168,24+168,ok,0,28661120,81702,0.1245299,0.14837010204792023,0.24284116923809052,526.0658,4.5003,365.37,logs/AsySpecX_phase10/phase10ep_0712v1_cross_cycle_full_dlinear_res_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross_cycle_full_dlinear_res/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.123649,0.1153828,0.1362628,0.1233604
factor_lift_0712v1,factor_r2_cycle,electricity,96,96,2026,25,168,24+168,ok,0,28661234,62812,0.1196407,0.14494512975215912,0.24054653942584991,286.8032,3.3148,303.49,logs/AsySpecX_phase10/factor_lift_0712v1_factor_r2_cycle_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/factor_lift_0712v1/factor_r2_cycle/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.1176581,0.1089088,0.1334622,0.1192948
factor_lift_0712v1,factor_r2_cycle_direct_res,electricity,96,96,2026,25,168,24+168,ok,0,28661238,72220,0.1188721,0.14309851825237274,0.23691332340240479,295.5937,3.3568,326.17,logs/AsySpecX_phase10/factor_lift_0712v1_factor_r2_cycle_direct_res_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/factor_lift_0712v1/factor_r2_cycle_direct_res/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.1166431,0.1088413,0.1329315,0.1178713
factor_lift_0712v1,factor_r4_cycle,electricity,96,96,2026,25,168,24+168,ok,0,28661236,68454,0.1199904,0.14471974968910217,0.24023665487766266,276.3436,3.1676,303.58,logs/AsySpecX_phase10/factor_lift_0712v1_factor_r4_cycle_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/factor_lift_0712v1/factor_r4_cycle/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.11765,0.1096004,0.1340853,0.119516
factor_lift_0712v1,factor_r4_cycle_direct_res,electricity,96,96,2026,25,168,24+168,ok,0,28661240,77862,0.1187102,0.14290764927864075,0.23680850863456726,278.3188,3.2296,326.26,logs/AsySpecX_phase10/factor_lift_0712v1_factor_r4_cycle_direct_res_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/factor_lift_0712v1/factor_r4_cycle_direct_res/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.1164132,0.1085457,0.1330111,0.1177481
phase10_0712v1,ind,electricity,96,96,2026,25,168,24+168,ok,0,28661039,835242,0.171855,0.1955765038728714,0.2809227406978607,1987.5743,6.4111,285.62,logs/AsySpecX_phase10/phase10_0712v1_ind_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/screen_0712v1/ind/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.1843903,0.1618465,0.1777391,0.1650978
phase10_0712v1,ind_cycle_full,electricity,96,96,2026,25,168,24+168,ok,0,28661041,889170,0.1180803,0.14326322078704834,0.2400229126214981,1985.6868,6.451,316.58,logs/AsySpecX_phase10/phase10_0712v1_ind_cycle_full_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/screen_0712v1/ind_cycle_full/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.1163783,0.1067592,0.1321672,0.1179506
phase10_0712v1,ind_cycle_full_direct_res,electricity,96,96,2026,25,168,24+168,ok,0,28661047,898578,0.1172983,0.14166048169136047,0.23644648492336273,2026.7429,6.4236,342.12,logs/AsySpecX_phase10/phase10_0712v1_ind_cycle_full_direct_res_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/screen_0712v1/ind_cycle_full_direct_res/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.1152232,0.1064963,0.1318236,0.1163688
phase10_0712v1,ind_cycle_r8,electricity,96,96,2026,25,168,24+168,ok,0,28661043,839154,0.1329728,0.15706908702850342,0.2571873366832733,2039.8006,6.1605,316.01,logs/AsySpecX_phase10/phase10_0712v1_ind_cycle_r8_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/screen_0712v1/ind_cycle_r8/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.1339713,0.1216532,0.1454283,0.1310865
phase10_0712v1,ind_direct_res,electricity,96,96,2026,25,168,24+168,ok,0,28661045,844650,0.1652121,0.1880112737417221,0.2699230909347534,2001.8476,6.4658,318.84,logs/AsySpecX_phase10/phase10_0712v1_ind_direct_res_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/screen_0712v1/ind_direct_res/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.1768296,0.1559184,0.1714976,0.158263
phase10ep_0712v1,cross,electricity,96,336,2026,25,168,24+168,ok,0,28661115,12278,0.1920492,0.2182890921831131,0.30668866634368896,794.1182,7.3279,572.58,logs/AsySpecX_phase10/phase10ep_0712v1_cross_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.1973004,0.1795276,0.2025425,0.1901305
