dataset,seq_len,arm,cut_freq,runs,horizons,seeds,screen_complete,screen_runs,screen_val_mse_mean,screen_test_mse_mean,all_val_mse_mean,all_test_mse_mean,n_param_max,peak_cuda_mb_max,t_train_mean,t_inf_mean
electricity,96,cross_cycle_full_direct_res,25,2,96+336,2026,1,2,0.13973939999999999,0.1643100380897522,0.13973939999999999,0.1643100380897522,99134,669.27,655.3884,5.89845
electricity,96,cross_cycle_full,25,2,96+336,2026,1,2,0.14148265,0.16744907200336456,0.14148265,0.16744907200336456,66206,627.08,637.12895,5.6905
electricity,96,cross,25,2,96+336,2026,1,2,0.18585085,0.21077711880207062,0.18585085,0.21077711880207062,12278,572.58,642.46785,5.7081
electricity,96,cross_cycle_full_dlinear_res,25,1,96,2026,0,1,0.1245299,0.14837010204792023,0.1245299,0.14837010204792023,81702,365.37,526.0658,4.5003
electricity,720,period_cycle_full,181,2,96+336,2026,1,2,0.12519095,0.1492694690823555,0.12519095,0.1492694690823555,641020,1511.71,1068.5642,8.44925
electricity,720,period,181,2,96+336,2026,1,2,0.1291521,0.15193196386098862,0.1291521,0.15193196386098862,587092,1343.76,1065.6579000000002,8.64855
weather,96,ind_cycle_full,13,12,96+192+336+720,2024+2025+2026,1,6,0.47695519999999997,0.21160796036322913,0.5275296416666667,0.24365973100066185,67746,138.01,373.62545833333337,2.95785
weather,96,ind_dlinear_res,13,2,96+336,2026,1,2,0.4879737,0.21673808991909027,0.4879737,0.21673808991909027,99666,106.54,355.164,2.6589
weather,96,ind_direct_res,13,2,96+336,2026,1,2,0.48810155,0.21679220348596573,0.48810155,0.21679220348596573,67074,103.95,348.3512,2.8775500000000003
weather,96,ind,25,2,96+336,2026,1,2,0.49073164999999996,0.21728922426700592,0.49073164999999996,0.21728922426700592,122346,102.09,364.21835,2.5747999999999998
weather,96,ind,13,2,96+336,2026,1,2,0.49350764999999996,0.21828750520944595,0.49350764999999996,0.21828750520944595,34146,99.26,381.93745,2.64465
weather,96,ind,5,2,96+336,2026,1,2,0.5002512,0.22140301018953323,0.5002512,0.22140301018953323,5586,99.79,371.0906,2.71315
weather,96,ind_cycle_full_direct_res,13,1,96,2026,0,1,0.3922333,0.15734562277793884,0.3922333,0.15734562277793884,27762,81.25,295.6859,2.6698
