run_tag,arm,dataset,seq_len,pred_len,seed,cut_freq,cycle,periods,status,exit_code,job_id,n_param,val_mse,mse,mae,t_train,t_inf,peak_cuda_mb,log_file,summary_file,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase10ep_0712v1,cross,electricity,96,96,2026,25,168,24+168,ok,0,28661114,9054,0.1796525,0.20326514542102814,0.28851771354675293,490.8175,4.0883,291.85,logs/AsySpecX_phase10/phase10ep_0712v1_cross_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.1935944,0.1695694,0.1841839,0.1720524
phase10ep_0712v1,cross_cycle_full,electricity,96,96,2026,25,168,24+168,ok,0,28661116,62982,0.1259567,0.15102583169937134,0.24929726123809814,497.7431,4.2391,316.97,logs/AsySpecX_phase10/phase10ep_0712v1_cross_cycle_full_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross_cycle_full/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.1258797,0.1157968,0.1369877,0.1257011
phase10ep_0712v1,cross_cycle_full_direct_res,electricity,96,96,2026,25,168,24+168,ok,0,28661118,72390,0.1244744,0.14831040799617767,0.24279111623764038,521.6746,4.5599,330.61,logs/AsySpecX_phase10/phase10ep_0712v1_cross_cycle_full_direct_res_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross_cycle_full_direct_res/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.1235071,0.1153393,0.1361628,0.1234234
phase10ep_0712v1,cross_cycle_full_dlinear_res,electricity,96,96,2026,25,168,24+168,ok,0,28661120,81702,0.1245299,0.14837010204792023,0.24284116923809052,526.0658,4.5003,365.37,logs/AsySpecX_phase10/phase10ep_0712v1_cross_cycle_full_dlinear_res_electricity_sl96_pl96_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross_cycle_full_dlinear_res/electricity/sl96_pl96_cf25_sd2026/run_summary.json,0.123649,0.1153828,0.1362628,0.1233604
phase10ep_0712v1,cross,electricity,96,336,2026,25,168,24+168,ok,0,28661115,12278,0.1920492,0.2182890921831131,0.30668866634368896,794.1182,7.3279,572.58,logs/AsySpecX_phase10/phase10ep_0712v1_cross_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.1973004,0.1795276,0.2025425,0.1901305
phase10ep_0712v1,cross_cycle_full,electricity,96,336,2026,25,168,24+168,ok,0,28661117,66206,0.1570086,0.1838723123073578,0.2807093858718872,776.5148,7.1419,627.08,logs/AsySpecX_phase10/phase10ep_0712v1_cross_cycle_full_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross_cycle_full/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.1531782,0.1464252,0.169651,0.1588748
phase10ep_0712v1,cross_cycle_full_direct_res,electricity,96,336,2026,25,168,24+168,ok,0,28661119,99134,0.1550044,0.18030966818332672,0.27283647656440735,789.1022,7.237,669.27,logs/AsySpecX_phase10/phase10ep_0712v1_cross_cycle_full_direct_res_electricity_sl96_pl336_cf25_sd2026.log,phase10_results/electricity_pareto_0712v1/cross_cycle_full_direct_res/electricity/sl96_pl336_cf25_sd2026/run_summary.json,0.1507357,0.146338,0.1663985,0.1565776
phase10_0712v1,period,electricity,720,96,2026,181,168,24+168,ok,0,28661049,219412,0.1156391,0.13718169927597046,0.23702199757099152,943.7003,7.2911,997.65,logs/AsySpecX_phase10/phase10_0712v1_period_electricity_sl720_pl96_cf181_sd2026.log,phase10_results/screen_0712v1/period/electricity/sl720_pl96_cf181_sd2026/run_summary.json,0.1134739,0.106641,0.1237936,0.1194877
phase10_0712v1,period_cycle_full,electricity,720,96,2026,181,168,24+168,ok,0,28661051,273340,0.1115253,0.13418588042259216,0.2324666529893875,943.1053,7.1488,1127.57,logs/AsySpecX_phase10/phase10_0712v1_period_cycle_full_electricity_sl720_pl96_cf181_sd2026.log,phase10_results/screen_0712v1/period_cycle_full/electricity/sl720_pl96_cf181_sd2026/run_summary.json,0.1092447,0.1026202,0.120016,0.1150503
phase10_0712v1,period,electricity,720,336,2026,181,168,24+168,ok,0,28661050,587092,0.1426651,0.16668222844600677,0.2639300525188446,1187.6155,10.006,1343.76,logs/AsySpecX_phase10/phase10_0712v1_period_electricity_sl720_pl336_cf181_sd2026.log,phase10_results/screen_0712v1/period/electricity/sl720_pl336_cf181_sd2026/run_summary.json,0.1430378,0.1332967,0.1538196,0.1414868
phase10_0712v1,period_cycle_full,electricity,720,336,2026,181,168,24+168,ok,0,28661052,641020,0.1388566,0.16435305774211884,0.26061001420021057,1194.0231,9.7497,1511.71,logs/AsySpecX_phase10/phase10_0712v1_period_cycle_full_electricity_sl720_pl336_cf181_sd2026.log,phase10_results/screen_0712v1/period_cycle_full/electricity/sl720_pl336_cf181_sd2026/run_summary.json,0.1384389,0.1289935,0.1505419,0.1384183
phase10_0712v1,ind,weather,96,96,2026,5,144,144,ok,0,28661027,2562,0.4229359,0.17121659219264984,0.21894040703773499,334.4949,2.5613,77.28,logs/AsySpecX_phase10/phase10_0712v1_ind_weather_sl96_pl96_cf5_sd2026.log,phase10_results/screen_0712v1/ind/weather/sl96_pl96_cf5_sd2026/run_summary.json,0.2089263,0.8221064,0.2748556,0.3921067
phase10_0712v1,ind,weather,96,96,2026,13,144,144,ok,0,28661029,15330,0.4141501,0.16701705753803253,0.21398238837718964,372.3575,2.4792,77.56,logs/AsySpecX_phase10/phase10_0712v1_ind_weather_sl96_pl96_cf13_sd2026.log,phase10_results/screen_0712v1/ind/weather/sl96_pl96_cf13_sd2026/run_summary.json,0.2012015,0.8110819,0.2692473,0.3867358
phase10_0712v1,ind,weather,96,96,2026,25,144,144,ok,0,28661031,54642,0.4101717,0.16568073630332947,0.21233049035072327,375.0868,2.3902,78.24,logs/AsySpecX_phase10/phase10_0712v1_ind_weather_sl96_pl96_cf25_sd2026.log,phase10_results/screen_0712v1/ind/weather/sl96_pl96_cf25_sd2026/run_summary.json,0.1980528,0.8065134,0.2675638,0.3847326
phase10w_0712v1,ind_cycle_full,weather,96,96,2024,13,144,144,ok,0,28661095,18354,0.3968916,0.1584823727607727,0.2043052315711975,376.4342,2.5406,79.66,logs/AsySpecX_phase10/phase10w_0712v1_ind_cycle_full_weather_sl96_pl96_cf13_sd2024.log,phase10_results/confirm_weather_0712v1/ind_cycle_full/weather/sl96_pl96_cf13_sd2024/run_summary.json,0.166308,0.7946405,0.2520616,0.3806239
