job_id	arm	dataset	seq_len	pred_len	seed	cut_freq
28661027	ind	weather	96	96	2026	5
28661028	ind	weather	96	336	2026	5
28661029	ind	weather	96	96	2026	13
28661030	ind	weather	96	336	2026	13
28661031	ind	weather	96	96	2026	25
28661032	ind	weather	96	336	2026	25
28661033	ind_cycle_full	weather	96	96	2026	13
28661034	ind_cycle_full	weather	96	336	2026	13
28661035	ind_direct_res	weather	96	96	2026	13
28661036	ind_direct_res	weather	96	336	2026	13
28661037	ind_dlinear_res	weather	96	96	2026	13
28661038	ind_dlinear_res	weather	96	336	2026	13
28661039	ind	electricity	96	96	2026	25
28661040	ind	electricity	96	336	2026	25
28661041	ind_cycle_full	electricity	96	96	2026	25
28661042	ind_cycle_full	electricity	96	336	2026	25
28661043	ind_cycle_r8	electricity	96	96	2026	25
28661044	ind_cycle_r8	electricity	96	336	2026	25
28661045	ind_direct_res	electricity	96	96	2026	25
28661046	ind_direct_res	electricity	96	336	2026	25
28661047	ind_cycle_full_direct_res	electricity	96	96	2026	25
28661048	ind_cycle_full_direct_res	electricity	96	336	2026	25
28661049	period	electricity	720	96	2026	181
28661050	period	electricity	720	336	2026	181
28661051	period_cycle_full	electricity	720	96	2026	181
28661052	period_cycle_full	electricity	720	336	2026	181
