job_id	base_profile	arm	dataset	seq_len	pred_len	seed	cut_freq
28809393	ind_cycle_full	anchor	weather	96	96	2026	13
28809394	ind_cycle_full	fk_r8_cs	weather	96	96	2026	13
28809395	ind_cycle_full	fk_sm2_mode	weather	96	96	2026	13
28809396	ind_cycle_full	fk_sm4_ph4_h	weather	96	96	2026	13
28809397	ind_cycle_full	anchor	weather	96	192	2026	13
28809398	ind_cycle_full	fk_r8_cs	weather	96	192	2026	13
28809399	ind_cycle_full	fk_sm2_mode	weather	96	192	2026	13
28809400	ind_cycle_full	fk_sm4_ph4_h	weather	96	192	2026	13
28809401	ind_cycle_full	anchor	weather	96	336	2026	13
28809402	ind_cycle_full	fk_r8_cs	weather	96	336	2026	13
28809403	ind_cycle_full	fk_sm2_mode	weather	96	336	2026	13
28809404	ind_cycle_full	fk_sm4_ph4_h	weather	96	336	2026	13
28809405	compact_period_cycle_full	anchor	electricity	504	96	2026	127
28809406	compact_period_cycle_full	fk_r8_cs	electricity	504	96	2026	127
28809407	compact_period_cycle_full	fk_sm2_mode	electricity	504	96	2026	127
28809408	compact_period_cycle_full	fk_sm4_ph4_h	electricity	504	96	2026	127
28809409	compact_period_cycle_full	anchor	electricity	504	336	2026	127
28809410	compact_period_cycle_full	fk_r8_cs	electricity	504	336	2026	127
28809411	compact_period_cycle_full	fk_sm2_mode	electricity	504	336	2026	127
28809412	compact_period_cycle_full	fk_sm4_ph4_h	electricity	504	336	2026	127
