dataset,seq_len,pred_len,seed,selected_arm,val_mse,test_mse,test_mae
electricity,720,192,2026,phase3_anchor_sparse_period,0.1284148,0.15264832973480225,0.2504502236843109
electricity,720,192,2027,phase3_anchor_sparse_period,0.1286255,0.1527624875307083,0.25069886445999146
electricity,720,336,2026,phase3_anchor_sparse_period,0.142867,0.16691282391548157,0.2643808424472809
electricity,720,336,2027,phase3_anchor_sparse_period,0.1431982,0.16755445301532745,0.26485323905944824
electricity,720,720,2026,phase3_anchor_sparse_period,0.1747993,0.20422030985355377,0.2952868938446045
electricity,720,720,2027,phase3_anchor_sparse_period,0.1745402,0.20349211990833282,0.2941526174545288
electricity,720,96,2026,phase3_anchor_sparse_period,0.1158186,0.1373506337404251,0.2373502552509308
electricity,720,96,2027,phase3_anchor_sparse_period,0.1168248,0.1389194130897522,0.2390706092119217
weather,720,192,2026,phase3_individual_hier_split,0.4368342,0.20191679894924164,0.2556999623775482
weather,720,192,2027,phase3_individual_sparse_period,0.4375293,0.19046379625797272,0.24257440865039825
weather,720,336,2026,phase3_anchor_hier_split,0.500709,0.2509799599647522,0.2910982668399811
weather,720,336,2027,phase3_anchor_sparse_period,0.4974203,0.25148648023605347,0.2910606265068054
weather,720,720,2026,phase3_anchor_sparse_period,0.5894999,0.3156142234802246,0.3378054201602936
weather,720,720,2027,phase3_anchor_hier_split,0.5930443,0.3131505250930786,0.3361877202987671
weather,720,96,2026,phase3_individual_sparse_period,0.3819292,0.14803838729858398,0.2022012323141098
weather,720,96,2027,phase3_anchor_revin_affine,0.3789798,0.1517438292503357,0.20886750519275665
