dataset,seq_len,pred_len,seed,selected_arm,val_mse,test_mse,test_mae
electricity,720,192,2024,phase4_asx_period_multi,0.1273319,0.1515727937221527,0.24858592450618744
electricity,720,192,2025,phase4_asx_period_multi,0.1278046,0.1520444005727768,0.24930919706821442
electricity,720,192,2026,phase4_asx_period_multi,0.1281182,0.15232089161872864,0.24984906613826752
electricity,720,336,2024,phase4_asx_period_multi,0.1423885,0.1666792780160904,0.2638959586620331
electricity,720,336,2025,phase4_asx_period_multi,0.1427664,0.1671222299337387,0.2640010118484497
electricity,720,336,2026,phase4_asx_period_multi,0.1426651,0.16668222844600677,0.2639300525188446
electricity,720,720,2024,phase4_asx_period_multi,0.1744358,0.20420873165130615,0.29386523365974426
electricity,720,720,2025,phase4_asx_period_multi,0.1739698,0.20256029069423676,0.2927343547344208
electricity,720,720,2026,phase4_asx_period_multi,0.1745014,0.20389817655086517,0.29469653964042664
electricity,720,96,2024,phase4_asx_period_multi,0.1167483,0.1387719064950943,0.23894603550434113
electricity,720,96,2025,phase4_asx_period_multi,0.1168167,0.1388411670923233,0.23893390595912933
electricity,720,96,2026,phase4_asx_period_multi,0.1156391,0.13718169927597046,0.23702199757099152
weather,720,192,2024,phase4_asx_individual_revin,0.4376875,0.190342977643013,0.2405116856098175
weather,720,192,2025,phase4_asx_individual_revin,0.4377343,0.19010286033153534,0.24022993445396423
weather,720,192,2026,phase4_asx_individual_revin,0.4378967,0.1901623159646988,0.24026477336883545
weather,720,336,2024,phase4_asx_period_multi,0.49715,0.24751578271389008,0.28827881813049316
weather,720,336,2025,phase4_asx_period_multi,0.4994344,0.24985799193382263,0.29037103056907654
weather,720,336,2026,phase4_asx_period_multi,0.5005974,0.25076359510421753,0.29083994030952454
weather,720,720,2024,phase4_asx_period_multi,0.5889736,0.3134722411632538,0.3358619213104248
weather,720,720,2025,phase4_asx_period_multi,0.5955095,0.3103782832622528,0.33450865745544434
weather,720,720,2026,phase4_asx_period_multi,0.5894603,0.3156276345252991,0.33776235580444336
weather,720,96,2024,phase4_asx_individual_revin,0.3813918,0.14773397147655487,0.20042157173156738
weather,720,96,2025,phase4_asx_individual_revin,0.3816749,0.14806611835956573,0.20093192160129547
weather,720,96,2026,phase4_asx_individual_revin,0.3813596,0.14775338768959045,0.20051971077919006
