arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file,val_mae,val_mae_seg0,val_mae_seg1,val_mae_seg2,val_mae_seg3,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase5_asx_cross,electricity,720,192,2024,ok,0.1315325,0.1563943773508072,0.25654134154319763,181,24+168,0,28447772,logs/AsySpecX_phase5/phase5_asx_cross_electricity_sl720_pl192_sd2024.log,0.2301649,0.216741,0.2194434,0.2402721,0.2442251,0.1286576,0.1204912,0.1420465,0.1351987
phase5_asx_cross,electricity,720,192,2025,ok,0.1314706,0.1563735157251358,0.25640037655830383,181,24+168,0,28447776,logs/AsySpecX_phase5/phase5_asx_cross_electricity_sl720_pl192_sd2025.log,0.2300577,0.2165464,0.2194265,0.2403899,0.24389,0.1285354,0.1205302,0.1421155,0.1349463
phase5_asx_cross,electricity,720,192,2026,ok,0.1316507,0.15638452768325806,0.2565271556377411,181,24+168,0,28447780,logs/AsySpecX_phase5/phase5_asx_cross_electricity_sl720_pl192_sd2026.log,0.2302089,0.2167533,0.2198259,0.2406444,0.2436342,0.1286599,0.1208758,0.1424455,0.1348776
phase5_asx_cross,electricity,720,336,2024,ok,0.1464436,0.171461284160614,0.2715785503387451,181,24+168,0,28447773,logs/AsySpecX_phase5/phase5_asx_cross_electricity_sl720_pl336_sd2024.log,0.2440866,0.2326783,0.2374314,0.2558803,0.2503763,0.1475063,0.1376084,0.1574517,0.1442171
phase5_asx_cross,electricity,720,336,2025,ok,0.1467331,0.17175833880901337,0.2716050148010254,181,24+168,0,28447777,logs/AsySpecX_phase5/phase5_asx_cross_electricity_sl720_pl336_sd2025.log,0.2440028,0.2326864,0.2361095,0.2555467,0.2516886,0.1477958,0.1372258,0.1569878,0.1455443
phase5_asx_cross,electricity,720,336,2026,ok,0.1466254,0.17153295874595642,0.27175217866897583,181,24+168,0,28447781,logs/AsySpecX_phase5/phase5_asx_cross_electricity_sl720_pl336_sd2026.log,0.2443801,0.2323906,0.2367641,0.2561276,0.2522591,0.1471284,0.1369285,0.1576651,0.145762
phase5_asx_cross,electricity,720,720,2024,ok,0.1787394,0.21007251739501953,0.30417343974113464,181,24+168,0,28447774,logs/AsySpecX_phase5/phase5_asx_cross_electricity_sl720_pl720_sd2024.log,0.2723121,0.2804898,0.260694,0.2761705,0.2718771,0.2068578,0.1625142,0.1768986,0.1694456
phase5_asx_cross,electricity,720,720,2025,ok,0.178537,0.2087242752313614,0.3030601441860199,181,24+168,0,28447778,logs/AsySpecX_phase5/phase5_asx_cross_electricity_sl720_pl720_sd2025.log,0.2721245,0.2801349,0.261321,0.2771868,0.2698383,0.2055273,0.1634039,0.1786412,0.1677867
phase5_asx_cross,electricity,720,720,2026,ok,0.1792761,0.21035346388816833,0.3051636517047882,181,24+168,0,28447782,logs/AsySpecX_phase5/phase5_asx_cross_electricity_sl720_pl720_sd2026.log,0.273368,0.2812445,0.2619087,0.2777029,0.2725995,0.2062418,0.1634257,0.1782825,0.1698393
phase5_asx_cross,electricity,720,96,2024,ok,0.1193656,0.14170262217521667,0.2436901032924652,181,24+168,0,28447771,logs/AsySpecX_phase5/phase5_asx_cross_electricity_sl720_pl96_sd2024.log,0.218938,0.2085558,0.2082974,0.224848,0.2340674,0.117145,0.11014,0.1269934,0.1235049
