dataset,seq_len,pred_len,seed,selected_arm,val_score,val_mse,test_mse,test_mae
electricity,720,192,2024,phase5_asx_period_multi,0.12791316097521604,0.1273319,0.1515727937221527,0.24858592450618744
electricity,720,192,2025,phase5_asx_period_multi,0.12791316097521604,0.1278046,0.1520444005727768,0.24930919706821442
electricity,720,192,2026,phase5_asx_period_multi,0.12791316097521604,0.1281182,0.15232089161872864,0.24984906613826752
electricity,720,336,2024,phase5_asx_period_multi,0.14268652377168695,0.1423885,0.1666792780160904,0.2638959586620331
electricity,720,336,2025,phase5_asx_period_multi,0.14268652377168695,0.1427664,0.1671222299337387,0.2640010118484497
electricity,720,336,2026,phase5_asx_period_multi,0.14268652377168695,0.1426651,0.16668222844600677,0.2639300525188446
electricity,720,720,2024,phase5_asx_period_multi,0.17442066172759646,0.1744358,0.20420873165130615,0.29386523365974426
electricity,720,720,2025,phase5_asx_period_multi,0.17442066172759646,0.1739698,0.20256029069423676,0.2927343547344208
electricity,720,720,2026,phase5_asx_period_multi,0.17442066172759646,0.1745014,0.20389817655086517,0.29469653964042664
electricity,720,96,2024,phase5_asx_period_multi,0.11667123005597484,0.1167483,0.1387719064950943,0.23894603550434113
electricity,720,96,2025,phase5_asx_period_multi,0.11667123005597484,0.1168167,0.1388411670923233,0.23893390595912933
electricity,720,96,2026,phase5_asx_period_multi,0.11667123005597484,0.1156391,0.13718169927597046,0.23702199757099152
weather,720,192,2024,phase5_asx_individual_revin,0.4378176566407625,0.4376875,0.190342977643013,0.2405116856098175
weather,720,192,2025,phase5_asx_individual_revin,0.4378176566407625,0.4377343,0.19010286033153534,0.24022993445396423
weather,720,192,2026,phase5_asx_individual_revin,0.4378176566407625,0.4378967,0.1901623159646988,0.24026477336883545
weather,720,336,2024,phase5_asx_individual_revin,0.5022336303225292,0.5017782,0.23994186520576477,0.27907946705818176
weather,720,336,2025,phase5_asx_individual_revin,0.5022336303225292,0.5021906,0.2400941401720047,0.2791818380355835
weather,720,336,2026,phase5_asx_individual_revin,0.5022336303225292,0.5023637,0.24001339077949524,0.27911177277565
weather,720,720,2024,phase5_asx_individual_revin,0.5968921984315553,0.5969155,0.31018927693367004,0.32903873920440674
weather,720,720,2025,phase5_asx_individual_revin,0.5968921984315553,0.5969077,0.31012001633644104,0.3289876878261566
weather,720,720,2026,phase5_asx_individual_revin,0.5968921984315553,0.5967126,0.3100194036960602,0.3288920223712921
weather,720,96,2024,phase5_asx_individual_revin,0.3815462610860547,0.3813918,0.14773397147655487,0.20042157173156738
weather,720,96,2025,phase5_asx_individual_revin,0.3815462610860547,0.3816749,0.14806611835956573,0.20093192160129547
weather,720,96,2026,phase5_asx_individual_revin,0.3815462610860547,0.3813596,0.14775338768959045,0.20051971077919006
