dataset,seq_len,pred_len,seed,selected_arm,val_score,val_mse,test_mse,test_mae
electricity,720,192,2024,phase5_asx_period_multi,0.13125516666666667,0.1273319,0.1515727937221527,0.24858592450618744
electricity,720,192,2025,phase5_asx_period_multi,0.13125516666666667,0.1278046,0.1520444005727768,0.24930919706821442
electricity,720,192,2026,phase5_asx_period_multi,0.13125516666666667,0.1281182,0.15232089161872864,0.24984906613826752
electricity,720,336,2024,phase5_asx_period_multi,0.14081633333333332,0.1423885,0.1666792780160904,0.2638959586620331
electricity,720,336,2025,phase5_asx_period_multi,0.14081633333333332,0.1427664,0.1671222299337387,0.2640010118484497
electricity,720,336,2026,phase5_asx_period_multi,0.14081633333333332,0.1426651,0.16668222844600677,0.2639300525188446
electricity,720,720,2024,phase5_asx_period_multi,0.16326473333333333,0.1744358,0.20420873165130615,0.29386523365974426
electricity,720,720,2025,phase5_asx_period_multi,0.16326473333333333,0.1739698,0.20256029069423676,0.2927343547344208
electricity,720,720,2026,phase5_asx_period_multi,0.16326473333333333,0.1745014,0.20389817655086517,0.29469653964042664
electricity,720,96,2024,phase5_asx_period_multi,0.12038350000000002,0.1167483,0.1387719064950943,0.23894603550434113
electricity,720,96,2025,phase5_asx_period_multi,0.12038350000000002,0.1168167,0.1388411670923233,0.23893390595912933
electricity,720,96,2026,phase5_asx_period_multi,0.12038350000000002,0.1156391,0.13718169927597046,0.23702199757099152
weather,720,192,2024,phase5_asx_cross_clip05,0.4226284333333334,0.4416891,0.20314878225326538,0.2558859586715698
weather,720,192,2025,phase5_asx_cross_clip05,0.4226284333333334,0.4461524,0.20382067561149597,0.2576207220554352
weather,720,192,2026,phase5_asx_cross_clip05,0.4226284333333334,0.4418606,0.20232592523097992,0.2549857199192047
weather,720,336,2024,phase5_asx_cross_clip05,0.49737576666666666,0.5033625,0.25091788172721863,0.2909202575683594
weather,720,336,2025,phase5_asx_cross_clip05,0.49737576666666666,0.5042277,0.25318512320518494,0.29288506507873535
weather,720,336,2026,phase5_asx_cross_clip05,0.49737576666666666,0.506224,0.252687007188797,0.2918236553668976
weather,720,720,2024,phase5_asx_individual_period,0.5802113333333333,0.5956973,0.30969929695129395,0.33186936378479004
weather,720,720,2025,phase5_asx_individual_period,0.5802113333333333,0.59578,0.3097400367259979,0.33192551136016846
weather,720,720,2026,phase5_asx_individual_period,0.5802113333333333,0.5956877,0.30968543887138367,0.3318425714969635
weather,720,96,2024,phase5_asx_cross_clip05,0.3628366,0.3824031,0.15802299976348877,0.21680870652198792
weather,720,96,2025,phase5_asx_cross_clip05,0.3628366,0.3898268,0.15799950063228607,0.2171955108642578
weather,720,96,2026,phase5_asx_cross_clip05,0.3628366,0.3835502,0.15775305032730103,0.2176450937986374
