dataset,seq_len,pred_len,seed,selected_arm,val_score,val_mse,test_mse,test_mae
electricity,720,192,2024,phase5_asx_period_multi,0.12783236382094135,0.1273319,0.1515727937221527,0.24858592450618744
electricity,720,192,2025,phase5_asx_period_multi,0.12783236382094135,0.1278046,0.1520444005727768,0.24930919706821442
electricity,720,192,2026,phase5_asx_period_multi,0.12783236382094135,0.1281182,0.15232089161872864,0.24984906613826752
electricity,720,336,2024,phase5_asx_period_multi,0.1426465952191768,0.1423885,0.1666792780160904,0.2638959586620331
electricity,720,336,2025,phase5_asx_period_multi,0.1426465952191768,0.1427664,0.1671222299337387,0.2640010118484497
electricity,720,336,2026,phase5_asx_period_multi,0.1426465952191768,0.1426651,0.16668222844600677,0.2639300525188446
electricity,720,720,2024,phase5_asx_period_multi,0.1743614975304649,0.1744358,0.20420873165130615,0.29386523365974426
electricity,720,720,2025,phase5_asx_period_multi,0.1743614975304649,0.1739698,0.20256029069423676,0.2927343547344208
electricity,720,720,2026,phase5_asx_period_multi,0.1743614975304649,0.1745014,0.20389817655086517,0.29469653964042664
electricity,720,96,2024,phase5_asx_period_multi,0.11653629836132075,0.1167483,0.1387719064950943,0.23894603550434113
electricity,720,96,2025,phase5_asx_period_multi,0.11653629836132075,0.1168167,0.1388411670923233,0.23893390595912933
electricity,720,96,2026,phase5_asx_period_multi,0.11653629836132075,0.1156391,0.13718169927597046,0.23702199757099152
weather,720,192,2024,phase5_asx_individual_revin,0.4377952449870479,0.4376875,0.190342977643013,0.2405116856098175
weather,720,192,2025,phase5_asx_individual_revin,0.4377952449870479,0.4377343,0.19010286033153534,0.24022993445396423
weather,720,192,2026,phase5_asx_individual_revin,0.4377952449870479,0.4378967,0.1901623159646988,0.24026477336883545
weather,720,336,2024,phase5_asx_cross,0.4994404950260766,0.497157,0.24762137234210968,0.28849101066589355
weather,720,336,2025,phase5_asx_cross,0.4994404950260766,0.4993576,0.250132292509079,0.2906610369682312
weather,720,336,2026,phase5_asx_cross,0.4994404950260766,0.500709,0.2509799599647522,0.2910982668399811
weather,720,720,2024,phase5_asx_cross,0.5921427278948213,0.5893421,0.31322842836380005,0.3357509672641754
weather,720,720,2025,phase5_asx_cross,0.5921427278948213,0.5953971,0.3103954792022705,0.33448919653892517
weather,720,720,2026,phase5_asx_cross,0.5921427278948213,0.5895908,0.31533676385879517,0.3376379907131195
weather,720,96,2024,phase5_asx_individual_revin,0.3815108472096941,0.3813918,0.14773397147655487,0.20042157173156738
weather,720,96,2025,phase5_asx_individual_revin,0.3815108472096941,0.3816749,0.14806611835956573,0.20093192160129547
weather,720,96,2026,phase5_asx_individual_revin,0.3815108472096941,0.3813596,0.14775338768959045,0.20051971077919006
