dataset,seq_len,pred_len,seed,selected_arm,val_score,val_mse,test_mse,test_mae
electricity,720,192,2024,phase5_asx_period_multi,0.1317993186261126,0.1273319,0.1515727937221527,0.24858592450618744
electricity,720,192,2025,phase5_asx_period_multi,0.1317993186261126,0.1278046,0.1520444005727768,0.24930919706821442
electricity,720,192,2026,phase5_asx_period_multi,0.1317993186261126,0.1281182,0.15232089161872864,0.24984906613826752
electricity,720,336,2024,phase5_asx_period_multi,0.14634464960272556,0.1423885,0.1666792780160904,0.2638959586620331
electricity,720,336,2025,phase5_asx_period_multi,0.14634464960272556,0.1427664,0.1671222299337387,0.2640010118484497
electricity,720,336,2026,phase5_asx_period_multi,0.14634464960272556,0.1426651,0.16668222844600677,0.2639300525188446
electricity,720,720,2024,phase5_asx_period_multi,0.18298399847709182,0.1744358,0.20420873165130615,0.29386523365974426
electricity,720,720,2025,phase5_asx_period_multi,0.18298399847709182,0.1739698,0.20256029069423676,0.2927343547344208
electricity,720,720,2026,phase5_asx_period_multi,0.18298399847709182,0.1745014,0.20389817655086517,0.29469653964042664
electricity,720,96,2024,phase5_asx_period_multi,0.11977504480424166,0.1167483,0.1387719064950943,0.23894603550434113
electricity,720,96,2025,phase5_asx_period_multi,0.11977504480424166,0.1168167,0.1388411670923233,0.23893390595912933
electricity,720,96,2026,phase5_asx_period_multi,0.11977504480424166,0.1156391,0.13718169927597046,0.23702199757099152
weather,720,192,2024,phase5_asx_cross,0.5591618037907042,0.4331134,0.19675582647323608,0.2503316104412079
weather,720,192,2025,phase5_asx_cross,0.5591618037907042,0.4380059,0.1976100206375122,0.251370370388031
weather,720,192,2026,phase5_asx_cross,0.5591618037907042,0.4425148,0.19853681325912476,0.25117331743240356
weather,720,336,2024,phase5_asx_cross,0.6250268585844471,0.497157,0.24762137234210968,0.28849101066589355
weather,720,336,2025,phase5_asx_cross,0.6250268585844471,0.4993576,0.250132292509079,0.2906610369682312
weather,720,336,2026,phase5_asx_cross,0.6250268585844471,0.500709,0.2509799599647522,0.2910982668399811
weather,720,720,2024,phase5_asx_period_multi,0.7021208697962317,0.5889736,0.3134722411632538,0.3358619213104248
weather,720,720,2025,phase5_asx_period_multi,0.7021208697962317,0.5955095,0.3103782832622528,0.33450865745544434
weather,720,720,2026,phase5_asx_period_multi,0.7021208697962317,0.5894603,0.3156276345252991,0.33776235580444336
weather,720,96,2024,phase5_asx_individual_revin,0.5032645836861868,0.3813918,0.14773397147655487,0.20042157173156738
weather,720,96,2025,phase5_asx_individual_revin,0.5032645836861868,0.3816749,0.14806611835956573,0.20093192160129547
weather,720,96,2026,phase5_asx_individual_revin,0.5032645836861868,0.3813596,0.14775338768959045,0.20051971077919006
