dataset,seq_len,pred_len,selector,selected_arm,test_mse,test_mae,oracle_arm,oracle_mse,fixed_best_arm
electricity,720,192,unrestricted_mean,phase5_asx_period_multi,0.151979,0.249248,phase5_asx_period_multi,0.151979,phase5_asx_individual_period
electricity,720,336,unrestricted_mean,phase5_asx_period_multi,0.166828,0.263942,phase5_asx_period_multi,0.166828,phase5_asx_individual_period
electricity,720,720,unrestricted_mean,phase5_asx_period_multi,0.203556,0.293765,phase5_asx_period_multi,0.203556,phase5_asx_individual_period
electricity,720,96,unrestricted_mean,phase5_asx_period_multi,0.138265,0.238301,phase5_asx_period_multi,0.138265,phase5_asx_individual_period
weather,720,192,unrestricted_mean,phase5_asx_individual_revin,0.190203,0.240335,phase5_asx_individual_revin,0.190203,phase5_asx_individual_period
weather,720,336,unrestricted_mean,phase5_asx_period_multi,0.249379,0.28983,phase5_asx_individual_revin,0.240016,phase5_asx_individual_period
weather,720,720,unrestricted_mean,phase5_asx_period_multi,0.313159,0.336044,phase5_asx_individual,0.309688,phase5_asx_individual_period
weather,720,96,unrestricted_mean,phase5_asx_individual_revin,0.147851,0.200624,phase5_asx_individual_revin,0.147851,phase5_asx_individual_period
electricity,720,192,unrestricted_last_segment,phase5_asx_period_multi,0.151979,0.249248,phase5_asx_period_multi,0.151979,phase5_asx_individual_period
electricity,720,336,unrestricted_last_segment,phase5_asx_period_multi,0.166828,0.263942,phase5_asx_period_multi,0.166828,phase5_asx_individual_period
electricity,720,720,unrestricted_last_segment,phase5_asx_period_multi,0.203556,0.293765,phase5_asx_period_multi,0.203556,phase5_asx_individual_period
electricity,720,96,unrestricted_last_segment,phase5_asx_period_multi,0.138265,0.238301,phase5_asx_period_multi,0.138265,phase5_asx_individual_period
weather,720,192,unrestricted_last_segment,phase5_asx_cross_clip05,0.203098,0.256164,phase5_asx_individual_revin,0.190203,phase5_asx_individual_period
weather,720,336,unrestricted_last_segment,phase5_asx_cross_clip05,0.252263,0.291876,phase5_asx_individual_revin,0.240016,phase5_asx_individual_period
weather,720,720,unrestricted_last_segment,phase5_asx_individual_period,0.309708,0.331879,phase5_asx_individual,0.309688,phase5_asx_individual_period
weather,720,96,unrestricted_last_segment,phase5_asx_cross_clip05,0.157925,0.217216,phase5_asx_individual_revin,0.147851,phase5_asx_individual_period
electricity,720,192,unrestricted_segment_robust,phase5_asx_period_multi,0.151979,0.249248,phase5_asx_period_multi,0.151979,phase5_asx_individual_period
electricity,720,336,unrestricted_segment_robust,phase5_asx_period_multi,0.166828,0.263942,phase5_asx_period_multi,0.166828,phase5_asx_individual_period
electricity,720,720,unrestricted_segment_robust,phase5_asx_period_multi,0.203556,0.293765,phase5_asx_period_multi,0.203556,phase5_asx_individual_period
electricity,720,96,unrestricted_segment_robust,phase5_asx_period_multi,0.138265,0.238301,phase5_asx_period_multi,0.138265,phase5_asx_individual_period
weather,720,192,unrestricted_segment_robust,phase5_asx_cross,0.197634,0.250958,phase5_asx_individual_revin,0.190203,phase5_asx_individual_period
weather,720,336,unrestricted_segment_robust,phase5_asx_cross,0.249578,0.290083,phase5_asx_individual_revin,0.240016,phase5_asx_individual_period
