arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file,val_mae,val_mae_seg0,val_mae_seg1,val_mae_seg2,val_mae_seg3,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase6_asx_cross,ETTh1,720,192,2024,ok,0.9510654,0.41969287395477295,0.4276595711708069,181,24+168,0,28522554,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl720_pl192_sd2024.log,0.6679515,0.6988117,0.7384311,0.6140035,0.6205138,1.0844861,1.088792,0.839018,0.7928394
phase6_asx_cross,ETTh1,720,192,2025,ok,0.9600041,0.41759979724884033,0.42764967679977417,181,24+168,0,28522562,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl720_pl192_sd2025.log,0.6728351,0.6981768,0.7396446,0.6185436,0.6349378,1.0804298,1.0835536,0.8614697,0.8158233
phase6_asx_cross,ETTh1,720,192,2026,ok,0.9691973,0.4192512333393097,0.4273549020290375,181,24+168,0,28522570,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl720_pl192_sd2026.log,0.6765562,0.7032629,0.7556055,0.6184958,0.6288211,1.0918101,1.1351789,0.8440726,0.806128
phase6_asx_cross,ETTh1,720,336,2024,ok,1.1554615,0.4423026144504547,0.44228097796440125,181,24+168,0,28522555,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl720_pl336_sd2024.log,0.7446855,0.8008747,0.7942353,0.6882499,0.695294,1.4317424,1.2529856,0.9663759,0.9702221
phase6_asx_cross,ETTh1,720,336,2025,ok,1.1560709,0.4457381069660187,0.44335073232650757,181,24+168,0,28522563,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl720_pl336_sd2025.log,0.7447276,0.7981842,0.7943615,0.6828486,0.7034318,1.4176449,1.2544081,0.9629644,0.9919094
phase6_asx_cross,ETTh1,720,336,2026,ok,1.1587702,0.4452802836894989,0.4449023902416229,181,24+168,0,28522571,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl720_pl336_sd2026.log,0.7467777,0.8031658,0.7901094,0.6920294,0.7017177,1.4484453,1.2320441,0.9745867,0.9791083
phase6_asx_cross,ETTh1,720,720,2024,ok,1.4019762,0.44960731267929077,0.4635275900363922,181,24+168,0,28522556,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl720_pl720_sd2024.log,0.8294562,0.9632078,0.8896343,0.8286287,0.6361061,2.0588303,1.4888165,1.2166499,0.8456311
phase6_asx_cross,ETTh1,720,720,2025,ok,1.4061172,0.4564704895019531,0.46602267026901245,181,24+168,0,28522564,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl720_pl720_sd2025.log,0.8328992,0.9395748,0.9218645,0.8182377,0.6517222,1.9710542,1.5601717,1.211292,0.8866804
phase6_asx_cross,ETTh1,720,720,2026,ok,1.3835757,0.4578005373477936,0.4640950560569763,181,24+168,0,28522572,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl720_pl720_sd2026.log,0.821443,0.9510804,0.8899186,0.8143442,0.6301887,2.0227931,1.4983051,1.1893697,0.8337073
phase6_asx_cross,ETTh1,720,96,2024,ok,0.713086,0.3842792510986328,0.4083326756954193,181,24+168,0,28522553,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl720_pl96_sd2024.log,0.5836096,0.59634,0.669167,0.5267348,0.5421785,0.7472592,0.8779129,0.6286151,0.6075019
phase6_asx_cross,ETTh1,720,96,2025,ok,0.7059077,0.3820101320743561,0.4067477285861969,181,24+168,0,28522561,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl720_pl96_sd2025.log,0.5754939,0.579375,0.6629267,0.5244611,0.5352073,0.7215169,0.8611084,0.6523852,0.599329
phase6_asx_cross,ETTh1,720,96,2026,ok,0.7209827,0.38225507736206055,0.407240092754364,181,24+168,0,28522569,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl720_pl96_sd2026.log,0.5849021,0.5967267,0.6757422,0.5305132,0.5366095,0.7529362,0.9031305,0.6389015,0.5999888
phase6_asx_cross,ETTh1,96,192,2024,ok,1.0100038,0.43996015191078186,0.4279957413673401,25,24+168,0,28522550,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl96_pl192_sd2024.log,0.6604119,0.6819078,0.7348648,0.628355,0.5964881,1.0275768,1.1601132,1.0349842,0.8183686
phase6_asx_cross,ETTh1,96,192,2025,ok,1.0089372,0.4410831034183502,0.42958879470825195,25,24+168,0,28522558,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl96_pl192_sd2025.log,0.6611142,0.6817769,0.7341641,0.6290609,0.5994244,1.0260386,1.1573273,1.0345434,0.8185468
phase6_asx_cross,ETTh1,96,192,2026,ok,1.0098858,0.4380103051662445,0.4258992671966553,25,24+168,0,28522566,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl96_pl192_sd2026.log,0.6596431,0.6822745,0.7345531,0.6275479,0.5941631,1.0285802,1.1614785,1.035342,0.8178895
phase6_asx_cross,ETTh1,96,336,2024,ok,1.2853136,0.478499174118042,0.44396838545799255,25,24+168,0,28522551,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl96_pl336_sd2024.log,0.7575749,0.8009463,0.797591,0.7402796,0.6914148,1.4242066,1.3869079,1.2910547,1.058147
phase6_asx_cross,ETTh1,96,336,2025,ok,1.2912066,0.48263734579086304,0.4466454088687897,25,24+168,0,28522559,logs/AsySpecX_phase6/phase6_asx_cross_ETTh1_sl96_pl336_sd2025.log,0.7600303,0.8027204,0.798793,0.7438353,0.6947052,1.4265178,1.3903704,1.2987682,1.0648293
