dataset,seq_len,pred_len,seed,selected_arm,val_score,val_mse,test_mse,test_mae
ETTh1,720,192,2024,phase6_asx_period_multi,0.9585776586548597,0.9473596,0.41700413823127747,0.4252460300922394
ETTh1,720,192,2025,phase6_asx_period_multi,0.9585776586548597,0.9575244,0.4158362150192261,0.42592865228652954
ETTh1,720,192,2026,phase6_asx_period_multi,0.9585776586548597,0.9653307,0.4171336591243744,0.42542561888694763
ETTh1,720,336,2024,phase6_asx_cross,1.157126980097086,1.1554615,0.4423026144504547,0.44228097796440125
ETTh1,720,336,2025,phase6_asx_cross,1.157126980097086,1.1560709,0.4457381069660187,0.44335073232650757
ETTh1,720,336,2026,phase6_asx_cross,1.157126980097086,1.1587702,0.4452802836894989,0.4449023902416229
ETTh1,720,720,2024,phase6_asx_period_multi,1.3945111616976988,1.393778,0.4426138401031494,0.45722728967666626
ETTh1,720,720,2025,phase6_asx_period_multi,1.3945111616976988,1.402168,0.45233967900276184,0.46328505873680115
ETTh1,720,720,2026,phase6_asx_period_multi,1.3945111616976988,1.3810887,0.451300710439682,0.46001988649368286
ETTh1,720,96,2024,phase6_asx_cross_clip05,0.7016928070577058,0.6967804,0.3801899552345276,0.4039992094039917
ETTh1,720,96,2025,phase6_asx_cross_clip05,0.7016928070577058,0.702507,0.38011500239372253,0.4039812684059143
ETTh1,720,96,2026,phase6_asx_cross_clip05,0.7016928070577058,0.7035574,0.37968528270721436,0.40373191237449646
ETTh1,96,192,2024,phase6_asx_period_multi,1.0067847740395401,1.0071322,0.43809375166893005,0.4253491759300232
ETTh1,96,192,2025,phase6_asx_period_multi,1.0067847740395401,1.0061318,0.4393575191497803,0.42708083987236023
ETTh1,96,192,2026,phase6_asx_period_multi,1.0067847740395401,1.0067796,0.4364440143108368,0.4235135018825531
ETTh1,96,336,2024,phase6_asx_cross,1.291443630135197,1.2853136,0.478499174118042,0.44396838545799255
ETTh1,96,336,2025,phase6_asx_cross,1.291443630135197,1.2912066,0.48263734579086304,0.4466454088687897
ETTh1,96,336,2026,phase6_asx_cross,1.291443630135197,1.2948608,0.4791312515735626,0.44546031951904297
ETTh1,96,720,2024,phase6_asx_period_multi,1.5635571209008163,1.5629228,0.4675728976726532,0.4541987180709839
ETTh1,96,720,2025,phase6_asx_period_multi,1.5635571209008163,1.5623,0.46773722767829895,0.4542292058467865
ETTh1,96,720,2026,phase6_asx_period_multi,1.5635571209008163,1.5646895,0.4673846662044525,0.4564030170440674
ETTh1,96,96,2024,phase6_asx_period_multi,0.7074679206554203,0.7058165,0.388675719499588,0.39824652671813965
ETTh1,96,96,2025,phase6_asx_period_multi,0.7074679206554203,0.7069566,0.3899244964122772,0.3981391489505768
ETTh1,96,96,2026,phase6_asx_period_multi,0.7074679206554203,0.7087312,0.3908942937850952,0.39957505464553833
ETTm1,720,192,2024,phase6_asx_individual_period,0.5045869310020903,0.50414,0.34402573108673096,0.37076762318611145
ETTm1,720,192,2025,phase6_asx_individual_period,0.5045869310020903,0.5046586,0.34387755393981934,0.3706587255001068
ETTm1,720,192,2026,phase6_asx_individual_period,0.5045869310020903,0.5047588,0.3440517783164978,0.3708118796348572
ETTm1,720,336,2024,phase6_asx_individual,0.6451686456455313,0.6454237,0.37632670998573303,0.389755517244339
ETTm1,720,336,2025,phase6_asx_individual,0.6451686456455313,0.6449176,0.37638160586357117,0.3898809850215912
ETTm1,720,336,2026,phase6_asx_individual,0.6451686456455313,0.6449981,0.3762796223163605,0.38973569869995117
ETTm1,720,720,2024,phase6_asx_individual,0.9320693706231312,0.9327221,0.42636093497276306,0.41796937584877014
ETTm1,720,720,2025,phase6_asx_individual,0.9320693706231312,0.9316971,0.42653459310531616,0.41812485456466675
ETTm1,720,720,2026,phase6_asx_individual,0.9320693706231312,0.9313527,0.42624831199645996,0.4178905785083771
ETTm1,720,96,2024,phase6_asx_individual_period,0.3910000861861526,0.3908969,0.30736637115478516,0.3515705466270447
ETTm1,720,96,2025,phase6_asx_individual_period,0.3910000861861526,0.3911305,0.3068699240684509,0.35144516825675964
